tmdb_id,imdb_id,title,original_title,release_date,year,original_language,runtime,genres,budget,revenue,popularity,tmdb_vote_average,tmdb_vote_count,production_companies
843543,tt14900738,Meet Cute,Meet Cute,2022-09-21,2022,en,90,Comedy | Romance | Science Fiction | Fantasy,0,0,3.8883,5.8,300,"Weed Road Pictures | Convergent Media | The Exchange | Anamorphic Media | Orogen Entertainment | Sprockefeller Pictures | Amnis Investments | Redbox Entertainment | Summerland Entertainment | TPC | Yes, Norman Productions | Federal Films | Maven Screen Media"
366672,tt4428398,Paws of Fury: The Legend of Hank,Paws of Fury: The Legend of Hank,2022-07-14,2022,en,94,Animation | Adventure | Comedy | Family,45000000,42500000,2.5444,6.661,320,Flying Tigers Entertainment | Aniventure | HB Wink Animation | Cinesite Animation | Align | GFM Animation | Brooksfilms Ltd. | Mass Animation | Blazing Productions | Paramount Pictures | Nickelodeon Movies
1045944,tt23546646,The Boss Baby: Christmas Bonus,The Boss Baby: Christmas Bonus,2022-12-06,2022,en,45,Animation | Family | Adventure,0,0,3.8152,6.681,312,DreamWorks Animation Television
664469,tt10304142,Amsterdam,Amsterdam,2022-09-27,2022,en,134,Mystery | Comedy | Drama,80000000,31245810,3.0883,6.061,1731,DreamCrew | Keep Your Head Productions | Corazon Hayagriva | New Regency Productions | Regency Enterprises
674324,tt11813216,The Banshees of Inisherin,The Banshees of Inisherin,2022-10-20,2022,en,114,Drama | Comedy,20000000,49300000,3.6778,7.456,3157,Searchlight Pictures | Blueprint Pictures | Film4 Productions | TSG Entertainment
864370,tt18968540,Incantation,咒,2022-03-18,2022,zh,111,Horror,0,5700000,3.7857,6.8,784,Monkey Movies | Moonshine Animation | Kaohsiung Film Fund
597922,tt10268488,The Greatest Beer Run Ever,The Greatest Beer Run Ever,2022-09-23,2022,en,127,Drama | Comedy | War,2800000,0,2.5064,7.528,850,Skydance Media
799876,tt14114802,The Outfit,The Outfit,2022-02-25,2022,en,105,Crime | Drama | Thriller | Mystery,5000000,4e+06,3.1933,7.078,1272,Focus Features | FilmNation Entertainment | Unified Theory | Scoop Productions
616820,tt10665342,Halloween Ends,Halloween Ends,2022-10-12,2022,en,111,Horror | Thriller,33000000,104374176,3.0409,6.062,1933,Universal Pictures | Blumhouse Productions | Miramax | Rough House Pictures | Trancas International Films
740952,tt13055982,Savage Salvation,Savage Salvation,2022-12-02,2022,en,101,Thriller,85645,0,3.2431,6.2,265,River Bay Films | Ingenious Media | Lucky 13 Productions | The Avenue Entertainment | Convergence Entertainment | Diamond Film Productions | Highland Film Group | Pimienta | BondIt | Verdi Productions | VVS Films | SSS Entertainment | Taurus Film
